info: Download starting. {"0":{"rss":73662464,"heapTotal":31813632,"heapUsed":29860392,"external":1757365},"1":[0,60239972],"timestamp":"2020-07-29T11:52:16.468Z"}
info: Response accepted. {"0":"https://www.hotelplanner.com/Hotels/230507/Reservations-Hilton-Brisbane-Brisbane-190-Elizabeth-St-4000","1":200,"2":"text/html;charset=UTF-8","3":{"rss":75313152,"heapTotal":33439744,"heapUsed":31524912,"external":2152076},"4":[1,378137797],"timestamp":"2020-07-29T11:52:17.785Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/_HotelPlanner/Footer/spritem.png?v=1.2","1":200,"2":"image/png","3":{"rss":82100224,"heapTotal":44105728,"heapUsed":33681104,"external":1535567},"4":[5,409143033],"timestamp":"2020-07-29T11:52:21.816Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/allflags.png?v=3","1":200,"2":"image/png","3":{"rss":82100224,"heapTotal":44105728,"heapUsed":34139976,"external":1566638},"4":[5,412626793],"timestamp":"2020-07-29T11:52:21.819Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/AffiliateLogos/Partners/mt.png","1":200,"2":"image/png","3":{"rss":82100224,"heapTotal":44105728,"heapUsed":34499968,"external":1576663},"4":[5,414985524],"timestamp":"2020-07-29T11:52:21.822Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/greencheck-16.png","1":200,"2":"image/png","3":{"rss":82100224,"heapTotal":44105728,"heapUsed":34841472,"external":1581581},"4":[5,464245061],"timestamp":"2020-07-29T11:52:21.871Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/Profile/bullet-list.png","1":200,"2":"image/png","3":{"rss":82100224,"heapTotal":44105728,"heapUsed":35180896,"external":1585861},"4":[5,473820605],"timestamp":"2020-07-29T11:52:21.881Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/Profile/thumbs-back.png","1":200,"2":"image/png","3":{"rss":82366464,"heapTotal":44105728,"heapUsed":35891360,"external":1667540},"4":[5,666670116],"timestamp":"2020-07-29T11:52:22.073Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/Profile/thumbs-next.png","1":200,"2":"image/png","3":{"rss":82636800,"heapTotal":44105728,"heapUsed":32450520,"external":1446524},"4":[5,671804032],"timestamp":"2020-07-29T11:52:22.079Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/Profile/ajax-loader.gif","1":200,"2":"image/gif","3":{"rss":82636800,"heapTotal":44105728,"heapUsed":32802240,"external":1453897},"4":[5,675068965],"timestamp":"2020-07-29T11:52:22.082Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/close-bg.png","1":200,"2":"image/png","3":{"rss":82636800,"heapTotal":44105728,"heapUsed":33160488,"external":1463700},"4":[5,754256412],"timestamp":"2020-07-29T11:52:22.161Z"}
info: Response accepted. {"0":"https://cdn.hotelplanner.com/Common/Images/Bulleted2.gif","1":200,"2":"image/gif","3":{"rss":82636800,"heapTotal":44105728,"heapUsed":33500472,"external":1467954},"4":[5,757517215],"timestamp":"2020-07-29T11:52:22.164Z"}
